City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Meulaboh,ID,80.56,light rain,4.1363,96.1285,Kost Pria
485,Barrancabermeja,CO,78.44,broken clouds,7.0653,-73.8547,Hotel Millenium Barrancabermeja
489,Labuhan,ID,80.1,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
490,Dakar,SN,75.2,few clouds,14.6937,-17.4441,Redface Studios Meublés
492,Lockhart,US,79.0,broken clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
500,Luklukan,PH,77.9,light rain,14.3254,122.7124,GT's
504,Marsabit,KE,74.57,overcast clouds,2.3284,37.9899,Chicho Hotel
506,Richards Bay,ZA,76.06,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
509,Tirumullaivasal,IN,85.12,broken clouds,11.2333,79.8333,Hajaali
510,Ixtapa,MX,72.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
513,Luanda,AO,86.0,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
519,Alyangula,AU,78.8,light rain,-13.8483,136.4192,Groote Eylandt Lodge
520,Carutapera,BR,82.18,overcast clouds,-1.195,-46.02,Lidera
521,Marrakesh,MA,73.4,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
527,Soller,ES,75.2,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
530,Sinnamary,GF,81.27,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
532,Qax,AZ,75.2,scattered clouds,41.4225,46.9242,El Resort Hotel
533,Bani,DO,81.0,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
534,Cabedelo,BR,82.4,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
535,Arsikere,IN,89.29,overcast clouds,13.3139,76.2561,KPS Comforts
538,Acapulco,MX,75.2,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
543,Grand-Santi,GF,79.14,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
545,Vanimo,PG,75.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
547,Sao Filipe,CV,72.68,broken clouds,14.8961,-24.4956,Tortuga B&B
549,Contai,IN,85.05,overcast clouds,21.7786,87.7536,PATHFINDER
550,Luau,AO,78.19,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
551,Bandarbeyla,SO,85.33,scattered clouds,9.4942,50.8122,JABIR HOTEL
555,Ciudad Bolivar,VE,81.64,overcast clouds,8.1222,-63.5497,Hotel Edi
556,Vaitape,PF,80.4,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
557,Mackay,AU,75.2,overcast clouds,-21.15,149.2,International Lodge Motel
559,Mutare,ZW,80.83,broken clouds,-18.9707,32.6709,Ann Bruce Backpackers
560,Mucurapo,TT,84.0,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
563,Ranong,TH,77.0,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
564,Andapa,MG,70.59,overcast clouds,-14.65,49.65,Ramanandraibe Andapa
565,Monrovia,LR,84.2,scattered clouds,6.3005,-10.7969,Sunset Inn
