City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
190,Mahajanga,-15.7167,46.3167,91.4,52,20,6.91,MG,few clouds
191,Nenjiang,49.1833,125.2167,48.31,37,76,7.05,CN,broken clouds
192,San Rafael,-34.6177,-68.3301,58.37,63,0,3.94,AR,clear sky
193,Cabo San Lucas,22.8909,-109.9124,64.4,52,1,7.56,MX,clear sky
194,Lebu,-37.6167,-73.65,55.36,82,0,10.51,CL,clear sky
195,Kharovsk,59.9642,40.1912,41.9,93,100,5.82,RU,moderate rain
196,Chekhov,55.1431,37.4711,44.01,51,98,15.32,RU,light rain
197,Samaniego,1.3385,-77.5957,67.77,77,89,1.59,CO,overcast clouds
198,Athabasca,54.7169,-113.2854,19.4,79,8,1.14,CA,clear sky
199,Revelganj,25.7833,84.6667,93.2,14,40,3.44,IN,haze
200,Baruun-Urt,46.6806,113.2792,53.6,70,100,17.78,MN,overcast clouds
201,Ketou,7.3633,2.5998,94.8,44,100,5.06,BJ,overcast clouds
202,Hobyo,5.3505,48.5268,86.59,58,47,11.34,SO,scattered clouds
203,Sao Tome,0.3365,6.7273,87.8,70,20,6.91,ST,few clouds
204,Saint-Francois,46.4154,3.9054,73.99,40,0,13.8,FR,clear sky
205,Jiaohe,43.7286,127.3447,44.33,35,8,2.75,CN,clear sky
206,Oranjestad,12.524,-70.027,84.0,74,20,20.71,AW,few clouds
207,Santa Maria,-29.6842,-53.8069,64.4,100,90,4.61,BR,overcast clouds
208,Pentecoste,-3.7928,-39.2703,82.99,71,99,13.0,BR,overcast clouds
209,Faanui,-16.4833,-151.75,80.4,67,5,4.83,PF,clear sky
210,Luderitz,-26.6481,15.1594,70.25,60,100,5.44,NA,overcast clouds
211,Heishan,41.6892,122.1128,57.43,22,100,4.59,CN,overcast clouds
212,Sarahan,31.5167,77.8,56.53,44,0,1.99,IN,clear sky
213,Zhigansk,66.7697,123.3711,33.04,98,100,10.45,RU,overcast clouds
214,Tuatapere,-46.1333,167.6833,39.99,83,89,5.99,NZ,overcast clouds
215,Pisco,-13.7,-76.2167,64.4,94,90,3.44,PE,mist
216,Faya,18.3851,42.4509,75.2,33,75,11.5,SA,light rain
217,Rio Gallegos,-51.6226,-69.2181,46.4,71,0,17.27,AR,clear sky
218,Khuzdar,27.7384,66.6434,89.83,8,97,3.94,PK,overcast clouds
219,Gamba,-2.65,10.0,84.94,65,100,9.17,GA,overcast clouds
220,San Jose,37.3394,-121.895,53.6,71,75,5.75,US,broken clouds
221,Cayenne,4.9333,-52.3333,82.99,78,90,12.66,GF,overcast clouds
222,Marica,-22.9194,-42.8186,82.4,78,20,4.61,BR,few clouds
223,Kaitangata,-46.2817,169.8464,39.0,77,18,1.99,NZ,few clouds
224,Vokhma,58.9303,46.7586,41.83,76,100,9.46,RU,light rain
225,Samana,19.2056,-69.3369,80.6,83,20,9.22,DO,few clouds
226,Svetlogorsk,52.6333,29.7333,43.99,44,100,12.8,BY,overcast clouds
227,Mayahi,13.9553,7.6712,103.05,13,6,3.06,NE,clear sky
228,Hilo,19.7297,-155.09,69.8,83,40,6.91,US,light rain
229,Nimaparha,20.0667,86.0167,91.4,55,20,11.5,IN,few clouds
230,Nesna,66.1967,13.0213,41.0,48,20,12.66,NO,few clouds
231,Viedma,-40.8135,-62.9967,58.14,65,0,3.53,AR,clear sky
232,Hami,42.8,93.45,49.57,13,100,11.56,CN,overcast clouds
233,Touros,-5.1989,-35.4608,84.2,65,75,10.36,BR,broken clouds
234,Belyy Yar,53.6039,91.3903,44.6,42,0,4.47,RU,light rain
235,Narasapur,16.45,81.6667,83.08,74,1,9.66,IN,clear sky
236,Ornskoldsvik,63.2909,18.7153,37.4,56,75,18.41,SE,broken clouds
237,Miracema Do Tocantins,-9.5618,-48.3967,76.57,91,100,0.27,BR,moderate rain
238,Lavrentiya,65.5833,-171.0,22.1,87,100,2.8,RU,overcast clouds
239,Angoche,-16.2325,39.9086,79.56,82,100,5.32,MZ,light rain
240,Namatanai,-3.6667,152.4333,80.42,79,81,4.79,PG,broken clouds
241,Comodoro Rivadavia,-45.8667,-67.5,46.4,87,0,7.05,AR,clear sky
242,Prien,30.1819,-93.2738,64.4,72,1,9.22,US,clear sky
243,Adre,13.4667,22.2,100.38,10,64,6.42,TD,broken clouds
244,Bubaque,11.2833,-15.8333,77.99,50,46,4.99,GW,scattered clouds
245,Maniitsoq,65.4167,-52.9,39.97,71,26,5.26,GL,scattered clouds
246,Araceli,10.5529,119.9913,81.09,77,12,9.57,PH,few clouds
247,Atbasar,51.8,68.3333,55.0,54,92,12.26,KZ,overcast clouds
248,Norman Wells,65.282,-126.8329,19.4,86,40,6.91,CA,scattered clouds
249,Siderno,38.2779,16.302,71.6,33,98,14.97,IT,overcast clouds
250,San-Pedro,4.7485,-6.6363,83.73,69,100,5.64,CI,overcast clouds
251,Yulara,-25.2406,130.9889,64.4,34,0,6.91,AU,clear sky
252,Sambava,-14.2667,50.1667,75.87,90,100,5.84,MG,overcast clouds
253,Goderich,43.7501,-81.7165,37.4,81,100,17.27,CA,overcast clouds
254,Flin Flon,54.7682,-101.865,19.4,86,20,5.75,CA,few clouds
255,Vostok,46.4856,135.8833,24.57,50,6,3.56,RU,clear sky
256,Alta Floresta,-9.8756,-56.0861,86.0,70,0,2.3,BR,clear sky
257,Vagay,57.9375,69.0217,53.44,37,100,9.55,RU,overcast clouds
258,Kotelnikovo,47.6317,43.1461,52.72,32,100,4.59,RU,overcast clouds
259,Yerbogachen,61.2767,108.0108,33.87,98,100,6.24,RU,light snow
260,Forio,40.7342,13.8646,64.99,62,8,11.01,IT,clear sky
261,Hamilton,39.1834,-84.5333,48.99,93,90,5.75,US,mist
262,Algeciras,36.1333,-5.4505,62.6,82,75,4.61,ES,broken clouds
263,Kaniama,-7.5667,24.1833,79.02,68,94,4.85,CD,light rain
264,Sept-Iles,50.2001,-66.3821,45.0,60,3,2.3,CA,clear sky
265,Sonoita,31.85,-112.8333,60.01,28,2,7.63,MX,clear sky
266,Ejido,8.5514,-71.2375,74.91,62,2,3.62,VE,clear sky
267,Vorukh,39.8494,70.5838,63.01,46,11,3.04,TJ,few clouds
268,Nokaneng,-19.6667,22.2667,87.58,15,5,4.81,BW,clear sky
269,Aklavik,68.2191,-135.0107,17.6,92,75,4.61,CA,fog
270,Heilbron,-27.2812,27.9709,74.73,7,0,11.34,ZA,clear sky
271,Gisborne,-38.6533,178.0042,51.01,81,0,1.99,NZ,clear sky
272,Tilichiki,60.4667,166.1,26.98,97,100,2.28,RU,light snow
273,Saint-Georges,12.0564,-61.7485,84.2,61,20,23.02,GD,few clouds
274,Ahipara,-35.1667,173.1667,57.31,73,28,5.99,NZ,scattered clouds
275,Kaeo,-35.1,173.7833,48.99,91,38,3.0,NZ,scattered clouds
276,Bathsheba,13.2167,-59.5167,82.4,57,75,20.71,BB,broken clouds
277,Port Hardy,50.6996,-127.4199,46.4,93,90,2.3,CA,light rain
278,Pangnirtung,66.1451,-65.7125,36.37,79,100,1.16,CA,overcast clouds
279,Buala,-8.145,159.5921,80.56,80,30,2.1,SB,scattered clouds
280,Kawalu,-7.3817,108.2082,73.67,93,99,1.21,ID,overcast clouds
281,Khandagayty,50.7333,92.05,33.06,42,8,10.29,RU,clear sky
282,Muroto,33.2833,134.15,58.41,67,0,25.34,JP,clear sky
283,Ostersund,63.1792,14.6357,37.99,41,75,12.66,SE,broken clouds
284,Shubarshi,48.5872,57.1869,60.67,58,100,15.17,KZ,overcast clouds
285,Poum,-20.2333,164.0167,76.91,81,100,15.48,NC,overcast clouds
286,Samarai,-10.6167,150.6667,83.12,76,82,11.74,PG,broken clouds
287,Pacific Grove,36.6177,-121.9166,52.0,90,100,1.01,US,overcast clouds
288,Garliava,54.8167,23.8667,39.2,65,75,16.11,LT,broken clouds
289,Severo-Kurilsk,50.6789,156.125,31.89,94,100,7.4,RU,light snow
290,Half Moon Bay,37.4636,-122.4286,53.01,93,75,3.2,US,mist
291,Khilok,51.3674,110.4676,41.85,92,100,6.53,RU,moderate rain
292,Shetpe,44.1667,52.1167,78.22,19,14,15.77,KZ,few clouds
293,College,64.8569,-147.8028,32.0,74,1,3.44,US,clear sky
294,Carbonia,39.1672,8.5222,68.0,59,0,12.66,IT,clear sky
